aboutToolStripMenuItem	about…
btSaveChanges	Save Changes
BtSaveOTSPreset  Save OTS
BtSaveOTSPresetTT  "Save Owner, Tribe and Server as preset.
The preset can be applied by the Apply Preset button"
btUpdateLibraryCreature Update creature in Library
C0	C0
C1	C1
C2	C2
C3	C3
C4	C4
C5	C5
Cancel	Cancel
Cancel quitting  Cancel quitting
cbBPMutationLimitOnlyOnePartner  One partner may have more mutations
cbBPOnlyOneSuggestionForFemales  Only best suggestion for females
cbBPTagExcludeDefaultTT	"Check if all creatures should be excluded and only be included when have the include-mark on their tag.
If this checkbox is unchecked, all creatures will be included by default, and only excluded if one of their tags has the exclude-mark and none has the include-mark."
cbExactlyImprinting	Exactly, don't adjust
cbExactlyImprintingTT	Check this if you have exactly 100% imprinting.
cbGuessSpecies	Guess Species
cbGuessSpeciesTT	"If checked, the tool will try to guess the species after reading the values from ARK with OCR.
If the tool recognizes the species-name it will take that, otherwise it will check if the stat-values match a certain species.

Uncheck this if the tool repeatedly selects the wrong species after OCR (you have to choose it manually then)."
cbQuickWildCheck	Quick Wild-Creature Check
cbQuickWildCheckTT	"Check this if you just want a quick check of the levels of a wild (untamed) creature.
The levels are then shown without the extraction-process (and without validation)."
cbToggleOverlay	Overlay
Charge Capacity	Ch Capacity
Charge Capacity_Abb	CC
Charge Emission Range	Ch Emission Range
Charge Emission Range_Abb	CRa
Charge Regen	Ch Regen
Charge Regen_Abb	CRe
Chart	Chart
checkForUpdatedStatsToolStripMenuItem	Check for Updates
clear  Clear
clearColors  clear colors
clearColorsFilters  Clear Color Filters
ClickDisplayFile  Click to show file in explorer
Club	Club
cnBPIncludeCooldowneds	Include Creatures with Cooldown
Collection changed discard and load?  Your Creature Collection has been modified since it was last saved, are you sure you want to discard your changes and load the file without saving first?
Collection changed discard and new?  Your Creature Collection has been modified since it was last saved, are you sure you want to discard your changes and create a new Library without saving?
Collection changed discard and quit?  Your Creature Collection has been modified since it was last saved, are you sure you want to discard your changes and quit without saving?
Colors	Colors
cooldown	Cooldown
cooldownGrowing	Cooldown/Growing
copyCreatureToolStripMenuItem	Copy Creature
copyInfoGraphicToClipboard  Copy info graphic to clipboard
copyToMultiplierTesterToolStripButton	Copy to MultiplierTester
copyToMultiplierTesterToolStripButtonTT	All the levels, TE and IB from the Tester, and the stat-values from the Extractor will be copied to the Stat-Multiplier-Tester
Crafting Speed	Crafting Speed
Crafting Speed_Abb Cr
Creature	Creature
creatureOfFile  Creature of the export file
Crossbow	Crossbow
CurrentCreature Current Creature
currentStatValue	Current stat-value
currentValue	Current Value
Damage	Damage
Damage_Abb	Dm
deadCreaturesToolStripMenuItem	Dead Creatures
Default	Default
deleteSelectedToolStripMenuItem	Remove…
Descendants  Descendants
Details	Details
Discard changes?  Discard changes?
Discard changes and load file  Discard changes and load new library
Discard changes and new  Discard changes and create new library
Discard changes and quit  Discard changes and quit
domesticatedAt	Domesticated at
domLevelExplanation	Levels assigned manually to this stat after the creature was domesticated
domLvl	Dom-Lvl
downloadingValuesSuccess  Downloading and updating of the new species-stats was successful.
editToolStripMenuItem	Edit
Egg	Egg
ElectricProd	Electric Prod
ElectricProdHits	Electric Prod Hits
error  Error
Event	Event
expired  expired
ExportFolderDetectionFailed  The export folder for exported creatures couldn't be detected automatically.
exportValuesToClipboardToolStripMenuItem	Export to Clipboard
extractionFailedHeader  The extraction failed. See the following list of possible causes
extractionIssuesToolStripMenuItem	Extraction Issues…
extractor	Extractor
Father	Father
Female	Female
femalesToolStripMenuItem	Females
fileToolStripMenuItem	File
filterAllNeededInfo  Only creatures with all of these flags will be displayed
filterByName  Filter by name
filterExcludeInfo  Creatures with this flag will not be shown
filterOneNeededInfo  Only creatures with one of these flags will be displayed
findDuplicatesToolStripMenuItem	Find Duplicates…
FinishedAt	Finished at
Food	Food
Food_Abb	Fo
FoodHasToDropUnits	Food has to drop by {0} units.
Fortitude Fortitude
Fortitude_Abb Fr
gbBPBreedingMode	Breeding-Mode
gbBPOffspring	Offspring
gbCreatureInfo	Creature-info
gbKOInfo	Knockout Info
gbWeaponDamage	Weapon Damage [%]
generation  generation
generations  generations
Generation_Abb	Gen
gpPreviewEdit	Preview / Edit
gpStarvingTime	Starving-Time
gpTorporTime	Torpor-Time
groupLibraryBySpecies  Group library by species
grownIn	Grown in
HarpoonLauncher	Harpoon Launcher
Head	Head
Health	Health
Health_Abb	HP
helpToolStripMenuItem	?
hideStatus  hide status
holdCtrlForRandomColors  "Hold Ctrl for random natural colors
Hold Ctrl + Shift for random colors"
ImmobilizedBy	Immobilized by
importCreatedJsonfileToolStripMenuItem	Import created json-file…
importExportedCreaturesToolStripMenuItem	Import exported Creatures
importingFromARKToolsToolStripMenuItem	Importing from ARK-Tools
importingFromSavegameEmptyToolStripMenuItem	At first configure "Import Savegame"
importingFromSavegameToolStripMenuItem	Importing from savegame
ImportingSavegame  Importing savegame
imprintingBonus	Imprinting Bonus
incubation  incubation
issueCauseArkStatIssue  This species is known to show wrong stat values ingame, this can prevent a successful extraction.
issueCauseCreatureLevel  "Check if the total level of the creature is entered correctly.
If the creature is bred, also check if the BabyImprintingStatScaleMultiplier is set correctly."
issueCauseImpossibleTe  The level results in an impossible taming effectiveness. Did you enter the levels arbitrarily? It might work if you set the creature to bred.
issueCauseImprintingLocked  You locked the imprinting-value by checking "Exactly, don't adjust" and the tool won't adjust it, this may cause the extraction to fail.
issueCauseImprintingNotPossible  "The imprinting-percentage given is not possible with the current multipliers and may cause wrong values during the extraction-process.
Make sure the BabyCuddleIntervallMultiplier and the BabyMatureSpeedMultiplier are set correctly.
They may have to be set to the value when the creature hatched/was born, even if they were changed."
issueCauseImprintingNotUpdated  Sometimes the game doesn't update the stat-value after an imprinting. Try the extraction after the creature was cryoed again.
issueCauseLockedDomLevel  Uncheck all Lock-to-Zero-buttons in the stats (all lock-symbols should be green and opened).
issueCauseMaxWildLevel  The maximal wild level is set too low, go to the settings and adjust it.
issueCauseModValues  If the creature is from a mod, you may need to enable the according mod values in Settings - Mod value manager.
issueCauseOutdatedIngameValues  The stats of the creature were changed recently and the game displays the old values. Level up a stat, that should trigger a recalculation of the values.
issueCauseSingleplayer  If you have enabled the Singleplayer-Settings in the game, make sure the according checkbox is enabled in the settings in this application as well.
issueCauseStatMultipliers  The stat multipliers in the Settings are not set to the multipliers of the server. Ask your admin for the correct multipliers and adjust them in the Settings.
issueCauseTamingEffectivenessRange  Taming-Effectiveness-Range too narrow, increase the upper and / or decrease the lower bound.
issueCauseTypo  Double check if all stat-values are entered correctly.
issueCauseWildLevelSteps  Adjust or disable the "Consider Wild-level - steps" in the settings.
issueCauseWildTamedBred  Make sure the correct state (wild, tamed, bred) for the creature is chosen.
issueMaxWildLevelTooLow	"The extraction is potentially possible, but it seems the max wild level is set too low for a valid extraction. Check if you set the correct value in the settings.
The current value is {0} and this creature seems to have a higher wild level than this.

For other reasons of the failing of the extraction, see the list on the right after closing this messagebox."
LbAlternativeColor  Hold Ctrl to select an alternative color id (red border). Hold Ctrl and click on No Color to unset it.
lbBPBreedingScore	Breeding Score
lbBPBreedingScoreTT	"The Breeding-Score of a pairing is not comparable to the Breeding-Score of another breeding-mode.
The numbers in the different modes are generated in incompatible ways."
lbBPBreedingTimes	Breeding Times
lbCurrentTorpor	Current Torpor
lbImprintedCountTT	"Number of cuddles given to get to this Imprinting-Bonus.
Click left to set to the closest valid integer.
Click right to set the imprinting to the value so for the torpor the levels in the tester and the value in the extractor match."
lbImprintingCuddleCountExtractorTT	Number of cuddles given to get to this Imprinting-Bonus.
lbImprintingFailInfo	If the creature is imprinted the extraction may fail because the game sometimes "forgets" to increase some stat-values during the imprinting-process. Usually it works after you put the creature in and out of a cryopod, up- and download it in an obelisk/terminal, go out of render-distance, or wait for a server-restart.
lbListeningTT	"red: listening, grey: deactivated, green: recognized, orange: didn't recognized
Say "[species] [level]", e.g. "Rex level 30" or "Brontosaurus 50"
to get taming-infos in the overlay"
lbMax	max
lbNameTT	Click to copy the name to the clipboard, e.g. for pasting it in the game.
lbNotYetTamed	*Creature is not yet tamed and may get better values then.
lbOwnerTT	"Click to toggle if the OCR can change the owner-field.
Enable it if the OCR doesn't recognize the owner-name correctly and you want to add multiple creatures with the same owner."
lbPedigreeEmpty	Select a creature in the Library to see its pedigree here.
lbServerTT  Click to toggle freezing this field. If the field is frozen its background is grey and importing a creature won't update this field.
lbShouldBe	Should be
lbSum	Sum
lbSumDomSBTT	This is the number that the sum of all manual levelups should be equal to.
lbSumDomTT	"This is the sum of all manual levelups of this creature, it should exactly match the number below.
If it's not matching, click on a stat that is yellow and choose another possible level distribution."
lbSumWildTT	"This is an indicator if the sum of the wild levels is valid.
If a number with a plus sign is shown, the sum is too high and you need to choose another possibility from the lists of yellow stats."
lbTamingTime	taming time
lbTestingInfo	Preview or edit levels of a creature.
lbTimeUntilWakingUp	Time until wake-up: {0}
lbTribeTT	"Click to toggle if the OCR can change the tribe-field.
Enable it if the OCR doesn't recognize the tribe-name correctly and you want to add multiple creatures with the same tribe."
lbUsed	used
Level	Level
Level_Abb	Lvl
Levels  Levels
LevelWild_Abb	LW
library	Library
libraryFilter  Library Filter
libraryFilterToolStripMenuItem  Filter library…
loadAndAddToolStripMenuItem	Load and A&dd...
loadToolStripMenuItem	&Load...
Longneck	Longneck
Male	Male
malesToolStripMenuItem	Males
matingTime  Mating Time
Maturation	Maturation
mature  mature
max wild level  max wild level
maxLevelForLevelUp  max level that allows domestic levelups
maxLevelSaved  max wild level that will be saved
modValueManagerToolStripMenuItem	Load additional values…
Mother	Mother
multiSetterToolStripMenuItem	MultiSetter…
mutatedCreaturesToolStripMenuItem	Mutated Creatures
mutationCounter	Mutation-Counter
Mutations	Mutations
Mutations_Abb	Mu
na  n/a
Name	Name
nameAlreadyExistsInLibrary	This name already exists in the library
Narcotics	Narcotics
naYet	n/a yet
Neck	Neck
Neutered	Neutered
neuteredCreaturesToolStripMenuItem	Neutered Creatures
newToolStripMenuItem	&New Library
newTopLevel  new top level
noColor no color
noCreatureSelectedInLibrary  There are no creatures in the library selected to copy to the clipboard.
NoPossiblePairingForSpeciesFound	No possible pairings found for {0}. Make sure at least one female and male are available in your library and that you didn't exclude all possible creatures via the tag-selector.
notABabyAnymore  not a baby anymore
noTamingData	no taming-data available
notAvailable	not available
Note	Note
notEnoughFoodToTame	Not enough food to tame the creature!
noTimerSelected  no timer selected
notYetTamed	not yet tamed
noValidData  No valid data
noValidExtractedCreatureToExport  There is no valid extracted creature to export.
nudBPMutationLimitTT	"Consider only creatures with at most this many mutations.
Set to -1 for any number of mutation."
Nursing Effectiveness  Nursing Effectiveness
Nursing Effectiveness_Abb NE
obeliskCreaturesToolStripMenuItem	Obelisk Creatures
OK	OK
onlinehelpToolStripMenuItem	Online Manual…
onlyCreaturesWithThisColor  Only creatures that have this color
onlyPairingsWith	only pairings with "{0}"
openSettingsToolStripMenuItem	Se&ttings…
OrOneAscerbicMushroom	or one Ascerbic Mushroom every
OrOneBioToxinEvery	or one Bio Toxin every
OrOneNarcoticEvery	or one Narcotic every
Owner	Owner
ownerFilterFromLibrary  Owner filter from library
owners  owners
Oxygen	Oxygen
Oxygen_Abb	Ox
Parents  Parents
pasteCreatureToolStripMenuItem	Paste Creature
paused  paused
pedigree	Pedigree
Player	Player
possibleLevelRange  Possible Level-Range: {0}–{1}
preTameLevel  Pre tame level
ProbabilityForBest	Probability for this Best Possible outcome
ProbabilityForOneMutation  Probability for one mutation
quitToolStripMenuItem	&Quit
Raising	Raising
rbBPHighStats	Best next generation
rbBPHighStatsTT	"Check for best next-generation-results.
The chance for an overall good creature is better.
Check if it's not important to have a Top-Stats-Offspring."
rbBPTopStats	Combine top stats lucky
rbBPTopStatsCn	Combine top stats steady
rbBPTopStatsCnTT	"Combine top stats steady
Check for best long-term-results and if you want to go safe.
This mode will get to the best possible offspring steady and surely.
Some offsprings might be worse than in High-Stats-Mode, but that's the mode you go if you want to have that perfect creature in some generations."
rbBPTopStatsTT	"Combine top stats lucky
Check for best long-term-results and if you're feeling lucky. It can be faster to get the perfect creature than in the Top-Stat-Conservative-Mode if you're lucky.
Some offsprings might be worse than in High-Stats-Mode, but you also have a chance to the best possible offspring."
Remove Note  Remove Note
runDefaultExtractionAndImportFileToolStripMenuItem	Run default Extraction and import file
runDefaultExtractionToolStripMenuItem	Run default Extraction
saveAsToolStripMenuItem	Save &as...
saveToolStripMenuItem	&Save
Save and quit	Save and quit
SelectSpeciesBreedingPlanner	Select a species to see suggestions for the chosen breeding-mode
Server	Server
serverFilterFromLibrary  Server filter from library
servers  servers
setStatusToolStripMenuItem	Set Status
Sex	Sex
ShockingTranqDarts	Shocking Tranq Darts
showOnlyNaturalOccurring  Show only natural occuring colors
Slingshot	Slingshot
SlingshotHits	Slingshot Hits
Spayed	Spayed
Species	Species
speciesNotTameable	The selected species is not tameable. Maybe you have selected a non-tameable variant of a tameable species?
Speed	Speed
Speed_Abb	Sp
Stamina	Stamina
Stamina_Abb	St
statChart	Stat-Chart
Stats	Stats
statTesting	Stat Testing
Status	Status
SystemLanguage  System Language
tags  tags
Tail	Tail
tamed	Tamed
Taming	Taming
tamingCalculator	Taming Calculator
tamingEffectiveness	Taming Effectiveness
TamingEffectiveness_Abb	TE
tamingInfo	Taming Information
Temperature Temperature
Temperature_Abb Te
Time	Time
TimeBetweenMating	Time between mating
timerFeedAll	Feed all for
timerStarvingOf	Starving of
timerWakeupOf	Wakeup of
TimeUntilFeedingAllFood	Time until you can feed all needed food in one go
timeUntilStarving	Time until starving:
TimeUntilTorporDepleted	Time until max torpor is depleted
toolStripButtonClear	Clear
toolStripButtonCopy2Extractor	Copy to Extractor
toolStripButtonCopy2Tester	Copy to Tester
toolStripButtonDeleteExpiredIncubationTimers	Delete All Expired
toolStripButtonDeleteTempCreature	Delete temp Cr
toolStripButtonDeleteTempCreatureTT	Delete currently selected data of the temporary creature
toolStripButtonSaveCreatureValuesTemp	Save values
toolStripButtonSaveCreatureValuesTempTT	Save entered values until extraction-issue is resolved. This creature cannot be used in other parts of this application until it is properly extracted.
ToolStripLabelFilter  Filter
ToolStripLabelFilterTT  "Filters the library. Multiple search words are separated by commas. Considered are the creature's
Name
Owner
Tribe
Note
Ark id in game
Server
Tags
Filter for a stats with {statAbb} [==|&lt;|&gt;] {value}, e.g. hp &gt; 20, st == 35
Filter for colors with c{region}: {colorValue} {colorValue2}, e.g. c0: 20, c5: 3 4 5 6, c1: 13 14
It's also possible to filter for creatures with a color in one of multiple possible regions. E.g. to display all creatures with the color 10 or 20 in any region use: c0 1 2 3 4 5: 10 20"
Top	Top
topLevel  top level
topPercentage	Tp%
topPercentileLevel	This level is in the top {0} % of what you can find.
Torpidity	Torpidity
Torpidity_Abb	To
TorporDepletion	Torpor-depletion
TotalTime	Total Time
TranqArrowsBow	Tranquilizer Arrows (Bow)
TranqArrowsCrossBow	Tranquilizer Arrows (Crossbow)
TranqDarts	Tranquilizer Darts
TranqSpearBolts	Tranq Spear Bolts
Tribe	Tribe
tribeFilterFromLibrary  Tribe filter from library
tribes  tribes
tsBtAddAsExtractionTest	Add as Test
ultraMaxLevel  Warning: The level is higher than the possible max value and will not be saved.
unavailableCreaturesToolStripMenuItem	Unavailable Creatures
Unknown	Unknown
unknownSpecies  unknown species
until until
updateSuccessTitle  Update successful
useFilterInTopStatCalculation  Use filter in top stat calculation
Values  Values
valuesFileLoadingError  The species values-file couldn't be loaded, this application does not work without. Try redownloading the tool.
VariantSelector  Variant Selector
VariantSelectorInfo  Species that contain one variant that is unchecked will be hidden.
viewToolStripMenuItem	View
waitingAfterFirstFeeding	Waiting time after first feeding: ~ {0}
WarningMoreStarvingThanFood  Careful: this creature could have not enough food, so you might have to feed it before this time to prevent it from starving (check its inventory)!
Water Water
Water_Abb Wa
Weight	Weight
Weight_Abb	We
wild	Wild
wildLevelExplanation	Wild levels, which are considered for breeding
wildLvl	Wild-Lvl
WithXFoodTamingTakesTime	With {0} × {1} taming takes {2}
WoodenClubHits	Wooden Club Hits
WorstPossible	Worst Possible
